Property,Rust Package Manager
codeRepository,package.repository
programmingLanguage,
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,"dependencies, dev-dependencies, build-dependencies"
softwareVersion,
storageRequirements,
supportingData,
author,package.authors
citation,
contributor,package.authors
copyrightHolder,
copyrightYear,
creator,package.authors
dateCreated,
dateModified,
datePublished,
editor,
encoding,
fileFormat,
funder,
keywords,package.keyword
license,package.license
producer,
provider,
publisher,
sponsor,
version,package.version
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,
identifier,
name,package.authors
sameAs,
url,package.homepage
relatedLink,package.documentation
givenName,
familyName,
email,package.authors
affiliation,
identifier,
name,package.authors
address,
type,
id,
softwareSuggestions,
maintainer,package.authors
contIntegration,
buildInstructions,
developmentStatus,
embargoDate,
funding,
issueTracker,badges.is-it-maintained-open-issues
referencePublication,
readme,package.readme
