Property,Debian Package
codeRepository,HomePage
programmingLanguage,
runtimePlatform,
targetProduct,
applicationCategory,
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,
softwareVersion,
storageRequirements,
supportingData,
author,
citation,
contributor,
copyrightHolder,
copyrightYear,
dateCreated,Date
dateModified,
datePublished,
editor,
encoding,
fileFormat,
funder,
keywords,
license,
producer,
provider,
publisher,
sponsor,
version,numeric_version
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,Description
identifier,Package
name,
sameAs,
url,
relatedLink,
givenName,
familyName,
email,
affiliation,
identifier,
name,
address,
endDate,
roleName,
startDate,
softwareSuggestions,
maintainer,
continuousIntegration,
buildInstructions,
developmentStatus,
embargoEndDate,
funding,
issueTracker,
referencePublication,
readme,
,
,
,
,
,
,
,
,
