Property,Zenodo
codeRepository,relatedLink
programmingLanguage,
runtimePlatform,
targetProduct,
applicationCategory,communities
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,
softwareVersion,
storageRequirements,
supportingData,
author,creators
citation,
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,
datePublished,date_published
editor,
encoding,
fileFormat,
funder,contributors.Funder
keywords,keywords
license,license
producer,
provider,
publisher,
sponsor,
version,
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,description/notes
identifier,id
name,title
sameAs,
url,
relatedLink,
givenName,
familyName,
email,
affiliation,affiliation
identifier,ORCID
name,name
address,
type,
id,
softwareSuggestions,
maintainer,
contIntegration,
buildInstructions,
developmentStatus,
embargoDate,
funding,
issueTracker,
referencePublication,
readme,
,
,
,
,
,
,
,
,
