Property,OntoSoft
codeRepository,
programmingLanguage,hasProgrammingLanguage
review,
runtimePlatform,
targetProduct,
applicationCategory,hasSoftwareCategory
applicationSubCategory,
downloadUrl,
fileSize,
installUrl,
memoryRequirements,
operatingSystem,SupportsOperatingSystem
permissions,
processorRequirements,
releaseNotes,
softwareHelp,
softwareRequirements,hasDependency->Software
softwareVersion,
storageRequirements,
supportingData,
author,
citation,
contributor,
copyrightHolder,
copyrightYear,
dateCreated,
dateModified,
datePublished,
editor,
encoding,
fileFormat,
funder,
keywords,hasDomainKeywords
license,License
producer,
provider,
publisher,os:hasPublisher
sponsor,
version,hasSoftwareVersion
isAccessibleForFree,
isPartOf,
hasPart,
position,
description,hasShortDescription
identifier,hasUniqueId
name,hasName
sameAs,
url,
relatedLink,
givenName,
familyName,
email,
affiliation,
identifier,
name,
address,
reviewAspect,
reviewBody,
endDate,
roleName,
startDate,
softwareSuggestions,
maintainer,
continuousIntegration,
buildInstructions,
developmentStatus,activeDevelopment
embargoEndDate,
funding,fundingReference.awardTitle or fundingReference.awardNumber
issueTracker,
referencePublication,
readme,
hasSourceCode,
isSourceCodeOf,
